"","taxa","Population"
"349","SC_L5","base"
"350","SG2113R_1","base"
"351","SG223R_1","base"
"352","SG223R_3","base"
"353","SG231R_1","base"
"354","SG293_3","base"
"355","SG294R_1","base"
"356","SG296_2","base"
"357","SG5123_1","base"
"358","SG514R_4","base"
"359","SG531_3","base"
"360","SG542_1","base"
"361","SG543R_1","base"
"362","SG543R_4","base"
"363","SG592R_1","base"
"364","SN332_1","base"
"365","SN341_3","base"
"366","SN382R_3","base"
"367","SN383R_3","base"
"368","SN391R_1","base"
"369","SN391R_3","base"
"370","SN393R_4","base"
"371","SN812R_3","base"
"372","SN813_1","base"
"373","SN813_4","base"
"374","SN824R_4","base"
"375","SN832R_2","base"
"376","SN833R_2","base"
"377","SN862_4","base"
"378","SN873_3","base"
"379","SP3104_1","base"
"380","SP323R_1","base"
"381","SP323R_2","base"
"382","SP333R_1","base"
"383","SP353R_2","base"
"384","SP362R_2","base"
"385","SP371_3","base"
"386","SP382R_3","base"
"387","SP391_2","base"
"388","SP5111_2","base"
"389","SP5111_3","base"
"390","SP572_3","base"
"391","SP572_4","base"
"392","SP575_1","base"
"393","SP585_2","base"
"394","SR521R_2","base"
"395","SR556_3","base"
"396","SR561R_2","base"
"397","SR564R_2","base"
"398","SR564R_4","base"
"399","SR575_2","base"
"400","SR575_4","base"
"401","SR591R_3","base"
"402","SR6101_4","base"
"403","SR6122R_1","base"
"404","SR6122R_4","base"
"405","SR6125_2","base"
"406","SR6125_3","base"
"407","SR632_4","base"
"408","SR632R_3","base"
"409","SR682_1","base"
"410","ST14133_1","base"
"411","ST1415_3","base"
"412","ST1423_1","base"
"413","ST1431_2","base"
"414","ST1431R_1","base"
"415","ST1442R_2","base"
"416","ST1443R_2","base"
"417","ST1444R_1","base"
"418","ST1453_2","base"
"419","ST1453_4","base"
"420","ST1465_3","base"
"421","ST1481R_1","base"
"422","ST1492_2","base"
"423","ST563R_1","base"
"424","ST563R_3","base"
"425","10_0655","Naked Barley"
"426","10_0662","Naked Barley"
"427","10WAN_129_6","Naked Barley"
"428","12WAN_106_12","Naked Barley"
"429","BB28","Naked Barley"
"430","BB5","Naked Barley"
"431","BBB528","Naked Barley"
"432","CDC_Ascent","Naked Barley"
"433","CDC_Carter","Naked Barley"
"434","CDC_Clear","Naked Barley"
"435","DH130910","Naked Barley"
"436","DH133529","Naked Barley"
"437","DH133535","Naked Barley"
"438","Full_Pint","Naked Barley"
"439","Havener","Naked Barley"
"440","Megs_song","Naked Barley"
"441","MS1054111_01","Naked Barley"
"442","MS1054115_03","Naked Barley"
"443","Purple_Valley","Naked Barley"
"444","Tamalpais","Naked Barley"
"445","Hansen_181","JIC"
"446","Ankara_Tobak","JIC"
"447","Arabische","JIC"
"448","Arabische2","JIC"
"449","Asplund","JIC"
"450","Austrian_Early","JIC"
"451","Bavaria","JIC"
"452","Beavans_Archer","JIC"
"453","Bere","JIC"
"454","Betzes","JIC"
"455","Binder","JIC"
"456","Bohmische_Nackte","JIC"
"457","Burtons_Malting","JIC"
"458","Chevallier","JIC"
"459","Chevallier","JIC"
"460","Chevallier_1","JIC"
"461","Chevallier_Chile","JIC"
"462","Chevallier_French","JIC"
"463","Chevallier_D10","JIC"
"464","Chevron","JIC"
"465","Clho_4196","JIC"
"466","Cornish","JIC"
"467","Djugay","JIC"
"468","Domen","JIC"
"469","Ducksbill","JIC"
"470","Fredrickson","JIC"
"471","Glorie_du_Velay","JIC"
"472","Golden_Melon","JIC"
"473","Golden_Pheasant","JIC"
"474","Golden_Promise","JIC"
"475","Goldthorpe","JIC"
"476","Gotlands","JIC"
"477","Guld","JIC"
"478","Gull","JIC"
"479","Hado_Streng","JIC"
"480","Hakata_2","JIC"
"481","Hanna","JIC"
"482","Hannchen","JIC"
"483","Hatif_de_Grignon","JIC"
"484","Heils_Franken","JIC"
"485","ICB_111809","JIC"
"486","Isaria","JIC"
"487","Kagelkorn","JIC"
"488","Kavkazsky_Nahy","JIC"
"489","Ketch","JIC"
"490","Kherson","JIC"
"491","Kitchin","JIC"
"492","Klages","JIC"
"493","Kneifel","JIC"
"494","Kober","JIC"
"495","Larker","JIC"
"496","Long_Eared_Nottingham","JIC"
"497","Loosdorfer","JIC"
"498","Manchuria","JIC"
"499","Maythorpe","JIC"
"500","Mestny","JIC"
"501","Monte_Cristo","JIC"
"502","Moravian_Barley","JIC"
"503","ND20448","JIC"
"504","Nikaku_Chevallier","JIC"
"505","Northumberland_Rogue","JIC"
"506","Nurnberg","JIC"
"507","Nutans_Moskva","JIC"
"508","Oderbrucker","JIC"
"509","Odessa","JIC"
"510","Old_Cromarty","JIC"
"511","Old_Irish","JIC"
"512","Old_Wiltshire","JIC"
"513","Pflugs_intensiv","JIC"
"514","PI_383933","JIC"
"515","Prior","JIC"
"516","Proctor","JIC"
"517","Riojana","JIC"
"518","Sativum_Jessen_England","JIC"
"519","Scotch_Annat","JIC"
"520","Scotch_Common","JIC"
"521","St_Davids","JIC"
"522","Stander","JIC"
"523","Svanhals","JIC"
"524","Swanneck","JIC"
"525","Tamparkorn","JIC"
"526","Tibetan","JIC"
"527","Tiree_6_row","JIC"
"528","Vellavia","JIC"
